,HUC 8,baseline tavgC,midterm tavgC,change (C),area (m2),weighted avg
69,2030101,10.701722222222223,13.951785714285714,3.250063492063491,1941384201.0,6309621915.738951
70,2030102,12.07688888888889,15.247936507936506,3.1710476190476165,487618616.0,1546261851.270094
71,2030103,10.66388888888889,13.98345238095238,3.319563492063491,2936738903.0,9748691248.121386
72,2030104,11.31025,14.224206349206348,2.913956349206348,1438351242.0,4191292734.0147367
73,2030105,11.337694444444445,14.612222222222224,3.274527777777779,2863001787.0,9374978879.358921
74,2030201,11.433472222222223,14.39670634920635,2.9632341269841262,750510623.0,2223938690.7377176
75,2030202,10.066833333333333,12.600873015873017,2.5340396825396834,5301908562.0,13435246689.304909
76,2030203,11.30175,14.289126984126984,2.9873769841269837,3081284340.0,9204957918.866903
77,2040101,7.164805555555556,10.731666666666667,3.5668611111111117,3083435590.0,10998186494.586946
78,2040102,6.4061111111111115,9.94547619047619,3.539365079365079,2176617765.0,7703844908.566666
79,2040103,7.5905000000000005,11.162420634920634,3.571920634920634,1548682029.0,5531769296.315855
80,2040104,8.519583333333333,12.032261904761905,3.5126785714285713,3962018119.0,13917296146.223036
81,2040105,10.401861111111112,13.825,3.4231388888888876,3520745985.0,12052002499.152912
82,2040106,9.25361111111111,12.75825396825397,3.5046428571428585,3526732725.0,12359938653.723219
83,2040201,11.906944444444443,15.123531746031748,3.216587301587305,1408288006.0,4529881317.077307
84,2040202,12.540333333333333,15.734523809523811,3.194190476190478,2981822499.0,9524509027.996292
85,2040203,10.716722222222222,14.141785714285716,3.4250634920634937,4952290568.0,16961909626.547182
86,2040204,13.003361111111111,16.112896825396824,3.1095357142857125,1073545182.0,3338227084.3283553
87,2040205,12.048333333333334,15.370833333333334,3.3225,1957460174.0,6503661428.115
88,2040206,12.786472222222221,15.849325396825396,3.062853174603175,3094168039.0,9476982401.00683
89,2040207,13.192833333333335,16.178690476190475,2.9858571428571405,1966717369.0,5872337104.209852
90,2040301,12.181055555555556,15.145396825396826,2.9643412698412703,4460643597.0,13222869904.640312
91,2040302,12.53611111111111,15.461666666666666,2.9255555555555564,2234685030.0,6537695204.433335
92,2040303,12.53063888888889,15.078412698412697,2.5477738095238074,2688777425.0,6850396703.053864
