,HUC 8,baseline pptMM,midterm pptMM,change (%),area (m2),weighted avg
107,2050301,1103.6889999999999,1100.5257142857142,-0.2866102420415191,3750659463.0,-1074977416.505744
108,2050302,1031.8096666666668,1065.1838095238095,3.234525119827595,2566366906.0,8300978224.151224
109,2050303,1011.6473333333334,1042.4238095238095,3.0422139392261247,2492090233.0,7581471644.641881
110,2050304,1050.873,1062.6228571428571,1.118104389670025,3756683995.0,4200364865.412626
111,2050305,1091.3486666666665,1084.2652380952381,-0.6490527535130892,4860524176.0,-3154736599.949739
112,2050306,1107.7106666666666,1103.9638095238095,-0.33825233028875945,6438155069.0,-2177720954.849639
113,2060002,1106.2343333333333,1108.2228571428573,0.17975611040131703,3372799571.0,606281332.0461907
114,2060003,1119.8046666666667,1125.5728571428572,0.5151068438891883,3671317837.0,1891120943.9311514
115,2060004,743.0286666666667,752.5190476190476,1.2772563668311845,954928909.0,1219689028.8914068
116,2060005,957.6226666666666,970.0580952380953,1.2985729143937732,2844434648.0,3693705790.6559863
117,2060006,1104.9093333333333,1121.2133333333334,1.4755961876811692,2401095729.0,3543047703.969938
118,2070001,971.2860000000001,1044.2619047619048,7.513328181596847,3832791996.0,28797024117.745632
119,2070002,1016.274,1068.8542857142857,5.173829667420956,3478643914.0,17997911084.646553
120,2070003,954.318,1004.0980952380951,5.216300566278232,3120246576.0,16276143981.316513
121,2070004,1012.4743333333333,1041.8138095238096,2.8977995021249523,5897881945.0,17090879363.812746
122,2070005,1017.3513333333334,1102.2819047619046,8.34820466104838,4330248300.0,36149799041.55682
123,2070006,940.295,1004.2633333333333,6.803006857776907,2677701436.0,18216421232.187073
124,2070007,989.1403333333333,1026.1671428571428,3.7433322933088595,911248332.0,3411105308.399433
125,2070008,1059.238,1087.0480952380951,2.625481264653937,3206860170.0,8419551294.69994
126,2070009,1078.4833333333333,1090.2961904761905,1.0953212514046438,2511001295.0,2750353080.718081
127,2070010,1071.7376666666667,1097.0766666666666,2.364291261574267,3374298079.0,7977823462.126535
128,2070011,1040.234,1074.8895238095238,3.3315123144911487,4677377480.0,15582740674.143578
129,2080102,1025.5493333333334,1074.7861904761903,4.801022782865339,1738815352.0,8348092120.148015
130,2080103,1089.584,1156.838095238095,6.172456206964771,4032085821.0,24887873152.846096
131,2080104,1099.3006666666668,1144.8285714285714,4.141533444162803,2993911253.0,12399383583.154863
132,2080105,1088.036,1150.3795238095238,5.729913698583846,2359394629.0,13519127605.07225
133,2080106,1076.3776666666665,1159.1442857142856,7.68936606645986,3812185369.0,29313288815.443363
134,2080107,1173.386,1243.3609523809525,5.963506670520406,755954928.0,4508142255.740773
135,2080108,1162.6406666666667,1205.564761904762,3.6919485502911478,594891660.0,2196309401.717294
136,2080109,1142.8563333333334,1165.492380952381,1.9806555696310206,2142432711.0,4243421281.6018367
137,2080110,856.3966666666668,876.1461904761904,2.3061187155707064,2515300016.0,5800580442.172897
138,2080111,1090.1376666666667,1115.790476190476,2.3531715588039774,2787729369.0,6560005464.773358
139,2080201,1020.385,1129.3038095238096,10.674285639617361,5728114577.0,61143531171.35397
140,2080202,1050.2,1163.999523809524,10.83598588930907,2170813508.0,23522904541.00952
141,2080203,1087.375,1206.985238095238,10.999906940589764,5240267659.0,57642456592.78217
142,2080204,1114.2103333333332,1219.2,9.422787020164671,1989412908.0,18745814127.250454
143,2080205,1058.779,1168.685238095238,10.380470154322856,2447296765.0,25404091027.853374
